,Team ID,Team Name ,Year,1-4ft FGM,1-4ft FGA,1-4ft FG%,5-9ft FGM,5-9ft FGA,5-9ft FG%,10-14ft FGM,10-14ft FGA,10-14ft FG%,15-19ft FGM,15-19ft FGA,15-19ft FG%,20-24ft FGM,20-24ft FGA,20-24ft FG%,25-29ft FGM,25-29ft FGA,25-29ft FG%,30-34ft FGA,30-34ft FGA,30-34ft FG%,35-39ft FGA,35-39ft FGA,35-39ft FG%,>40ft FGM,>40ft FGA,41ft FG%
1,1610612737,Atlanta Hawks,16,18.4,31,0.593,2.6,6.8,0.383,2.2,5.1,0.428,4.3,10.3,0.414,8.1,21.9,0.37,3,9,0.335,0,0.1,0.333,0,0.1,0,0,0.2,0.125
2,1610612738,Boston Celtics,16,19,32.6,0.583,3.2,8.4,0.378,2.5,6.7,0.374,4.1,11.4,0.363,6.4,17.7,0.363,4,12.2,0.326,0,0.2,0.222,0,0.1,0,0,0.2,0.071
3,1610612751,Brooklyn Nets,16,16.6,28.9,0.573,5.6,12.9,0.435,3,7.2,0.412,5.2,13.3,0.392,5.6,15.3,0.368,2.3,6.6,0.346,0,0.2,0.167,0,0.2,0.25,0,0.2,0
4,1610612766,Charlotte Hornets,16,14.8,25.9,0.571,3.4,8.1,0.418,2.3,6.3,0.37,4.7,11.6,0.404,6.3,16,0.393,5.5,16.2,0.341,0,0.2,0.091,0,0.1,0,0,0.2,0.083
5,1610612741,Chicago Bulls,16,16.7,30.5,0.547,3.4,9.1,0.379,3,7.9,0.383,5.9,14.3,0.413,6.3,16,0.392,3.3,9.3,0.352,0.1,0.3,0.222,0,0.2,0.167,0,0.3,0.042
6,1610612739,Cleveland Cavaliers,16,16.7,26.9,0.624,3.6,9.1,0.395,2.3,6.2,0.364,4.1,9.1,0.451,7.1,19,0.375,4.8,13.4,0.359,0,0.3,0,0,0.1,0,0,0.1,0.111
7,1610612742,Dallas Mavericks,16,14.9,24.7,0.603,3.1,8.2,0.38,3.1,7.3,0.427,5.1,12,0.426,7.9,21.4,0.368,3.2,10,0.319,0,0.2,0,0,0.2,0,0,0.3,0
8,1610612743,Denver Nuggets,16,19.5,35.4,0.552,2.9,7.4,0.388,1.9,5.2,0.366,3.6,9.2,0.387,6.2,16.9,0.366,3.6,10.9,0.331,0,0.2,0.2,0,0.2,0.167,0,0.2,0.105
9,1610612765,Detroit Pistons,16,16.9,29.7,0.569,4.5,11.5,0.387,2.9,7.1,0.403,4,9.7,0.411,5,13.6,0.369,4.7,14,0.334,0,0.3,0.071,0,0.2,0.143,0,0.5,0.027
10,1610612744,Golden State Warriors,16,18.7,30.2,0.617,2.6,6.9,0.377,2.9,6.8,0.434,3.8,8.8,0.436,6.9,16.7,0.414,7.2,17,0.427,0.4,0.7,0.474,0.1,0.2,0.333,0,0.3,0.148
